id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,head_office_country,website,phone,location_type,company_email,founded_date,company_age,sub_industry,person_name,email,job_title,industry,size,linkedin_url,domain_id,postal_code,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,change_history,suggested_industry,suggested_phone,is_duplicate,duplicate_group,duplicate_type,role_function,role_confidence
14,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
15,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
16,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
17,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
18,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
19,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
20,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
21,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
22,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
23,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
24,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
25,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
26,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
27,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
28,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
29,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
30,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
31,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
32,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
33,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
34,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
35,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
36,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
