sub_industry,Industry,sector,sic_code,sic_description,company_name,person_name,email,website,country,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,is_duplicate,duplicate_group,role_function,role_confidence
(HVAC) Heating Contractors & Consultants,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,False,,Other,0.0
Accounting Software,Software Development & Services,Information Technology,62012,Business and domestic software development,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Acoustical Consultants,Acoustic Engineering,Professional Services,71122,Engineering related scientific and technical consulting activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Acoustical Engineering,Acoustic Engineering,Professional Services,71129,Other engineering activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Actuaries,Insurance,Financial Services,66290,Other activities auxiliary to insurance and pension funding,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Acupuncture,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Addiction Rehabilitation & Treatment Center,Health Care Providers & Services,Healthcare,87200,"Residential care activities for learning difficulties, mental health and substance abuse",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Addictions Helplines,Civic & Social Organizations,Public Sector & Government,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Additive Manufacturing,Machinery & Manufacturing Services,Manufacturing & Industrials,28990,Manufacture of other special-purpose machinery n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
"Adhesives, Glues & Sealants",Chemical Products & Chemicals,Construction & Materials,20520,Manufacture of glues,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Adoption & Fostering,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Adult Education Centres,Education Services,Education,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Advanced Medics,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Advertisement Packages,Marketing & Advertising,Marketing & Advertising,73110,Advertising agencies,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Advice,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aerial Photographers,Photography,"Media, Publishing & Entertainment",74202,Other specialist photography,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aeronautical Instrument Makers,Aerospace & Defense,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aerosols,Chemical Products & Chemicals,Construction & Materials,20590,Manufacture of other chemical products n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aerospace,Aerospace & Defense,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
African Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aftersales Service,Customer Support Services,Professional Services,33190,Repair of other equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
After-school Care/Activities/Programs,Education Services,Education,85590,Other education n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural Chemical Manufacturing,Chemical Products & Chemicals,Construction & Materials,20150,Manufacture of fertilizers and nitrogen compounds,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural Crops,Agriculture,Agriculture & Farming,1110,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural Engineers,Agricultural Engineering,Agriculture & Farming,71122,Engineering related scientific and technical consulting activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural Haulage,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural Merchants/dealers,Agricultural Equipment,Manufacturing & Industrials,46110,"Agents selling agricultural raw materials, livestock, textile raw materials and semi-finished goods",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural Services,Agriculture,Agriculture & Farming,1610,Support activities for crop production,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agricultural/Farm Vehicles,Agricultural Equipment,Manufacturing & Industrials,28301,Manufacture of agricultural tractors,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agriculture Buildings,Construction & Engineering,Construction & Materials,41201,Construction of commercial buildings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agriculture Products,Agriculture,Agriculture & Farming,1610,Support activities for crop production,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Agroindustry,Agriculture,Agriculture & Farming,1610,Support activities for crop production,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aid Supplies,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air & Ocean Freight Forwarding,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air & Ocean Freight Import,Logistics & Transportation,Transportation & Logistics,51210,Freight air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Charter,Logistics & Transportation,Transportation & Logistics,51102,Non-scheduled passenger air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Compressors,Industrial Equipment & Supplies,Manufacturing & Industrials,28132,Manufacture of compressors,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Conditioning & Refrigeration Contractors,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Conditioning Equipment & Systems,Mechanical Engineering,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Freight,Logistics & Transportation,Transportation & Logistics,51210,Freight air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Hygiene,Environmental Engineering & Services,Manufacturing & Industrials,81229,Other building and industrial cleaning activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Pollution Control Systems,Environmental Engineering & Services,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Purification Equipment,Mechanical Engineering,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Air Tightness Testing And Water Penetration,Building Surveying,Construction & Materials,71200,Technical testing and analysis,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aircraft Charter & Rental Service,Vehicle Rental,Transportation & Logistics,51102,Non-scheduled passenger air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aircraft Services,Aviation,Transportation & Logistics,51102,Non-scheduled passenger air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Airline Services,Aviation,Transportation & Logistics,51101,Scheduled passenger air transport,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Airline Ticket Agencies,Travel & Leisure,Hospitality,79110,Travel agency activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Airport Transfers,Logistics & Transportation,Transportation & Logistics,49320,Taxi operation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Airports,Aviation,Transportation & Logistics,52230,Service activities incidental to air transportation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Airway Intubation Management Trainers,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Allergy Testing,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Alloy Wheels Suppliers,Auto Components,Automotive,45310,Wholesale trade of motor vehicle parts and accessories,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Alloys,Materials & Metals,Manufacturing & Industrials,24450,Other non-ferrous metal production,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Alternative Farming Systems,Agriculture,Agriculture & Farming,1610,Support activities for crop production,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Alternative Fuels,"Oil, Gas & Consumable Fuels",Utilities & Energy,35210,Manufacture of gas,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Alternative Medicine Massages,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Alternative Retail Outlets,Specialty Retail,Retail,47190,Other retail sale in non-specialised stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aluminium Fabricators,Metal Fabrication,Manufacturing & Industrials,25110,Manufacture of metal structures and parts of structures,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aluminium Stockholders,Materials & Metals,Construction & Materials,46720,Wholesale of metals and metal ores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Ambient Storage Service,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Ambulance Services,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
American Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Amusement Machine Manufacturers,Machinery & Manufacturing Services,Manufacturing & Industrials,32409,"Manufacture of other games and toys, n.e.c.",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Anaerobic Digestion,Renewable Energy,Utilities & Energy,38210,Treatment and disposal of non-hazardous waste,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Analytical & Consulting Pharmacist,Pharmaceuticals,Pharmaceuticals & Biotechnology,74909,"Other professional, scientific and technical activities n.e.c.",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Angling & Sports Fishing,Travel & Leisure,Hospitality,93199,Other sports activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal and Bird Enclosures,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal By-products,Agriculture,Agriculture & Farming,10110,Processing and preserving of meat,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Care,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Carrier Services,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Encounters,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Equipment,Veterinary Services & Supplies,Healthcare,32990,Other manufacturing n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Farming,Agriculture,Agriculture & Farming,1490,Raising of other animals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Feed,Agriculture,Agriculture & Farming,10910,Manufacture of prepared feeds for farm animals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Feed Manufacturing,Agricultural Products,Manufacturing & Industrials,10910,Manufacture of prepared feeds for farm animals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Health,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Oncology & Rehabilitation,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Rescue & Animal Welfare,Civic & Social Organizations,Public Sector & Government,96090,Other service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Rights,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Sales,Agriculture,Agriculture & Farming,46230,Wholesale of live animals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Shelter,Civic & Social Organizations,Public Sector & Government,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Sport Medication & Doping Control,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animal Training,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animals Hydrotherapy,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animation,Media Production & Services,"Media, Publishing & Entertainment",59111,Motion picture production activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animation Media,Media Production & Services,"Media, Publishing & Entertainment",59112,Video production activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Animation Software & Services,Software Development & Services,Information Technology,62090,Other information technology service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Anodisers,Metal Fabrication,Manufacturing & Industrials,25610,Treatment and coating of metals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Antique & Vintage Furniture,Furniture,Retail,47599,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Antique Dealers,Specialty Retail,Retail,47791,Retail sale of antiques including antique books in stores,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Antique Furniture Restoration/Repair Services,Specialized Consumer Services,Consumer Goods & Services,95240,Repair of furniture and home furnishings,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Apartment Letting Agency,Property Rental & Real Estate Services,Real Estate,68209,Other letting and operating of own or leased real estate,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
App Development,Software Development & Services,Information Technology,62012,Business and domestic software development,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Apparel,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Apparel & Fashion,Apparel,Consumer Goods & Services,46420,Wholesale of clothing and footwear,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Appliance Repair Services,Specialized Consumer Services,Consumer Goods & Services,95220,Repair of household appliances and home and garden equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Apprenticeship Center,Education Services,Education,85410,Post-secondary non-tertiary education,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Apps,Software Development & Services,Information Technology,62090,Other information technology service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aquaculture,Aquaculture,Agriculture & Farming,3220,Freshwater aquaculture,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aquarium & Vivarium Tank & Accessory Manufacturers,Pet Services & Supplies,Consumer Goods & Services,32990,Other manufacturing n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aquariums - Public,Travel & Leisure,Hospitality,91040,Botanical and zoological gardens and nature reserves activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aquatic Equipment And Accessories Store,Pet Services & Supplies,Retail,47760,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Arbitrators,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Arboriculture,Forestry & Logging,Agriculture & Farming,2100,Silviculture and other forestry activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Arcade Games Amusement,Entertainment Services,"Media, Publishing & Entertainment",93210,Activities of amusement parks and theme parks,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Archaeology,Professional & Commercial Services,Professional Services,72200,Research and experimental development on social sciences and humanities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architects,Architectural Engineering,Construction & Materials,71111,Architectural activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural and Structural Metal Manufacturing,Metal Fabrication,Manufacturing & Industrials,25110,Manufacture of metal structures and parts of structures,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Design,Architectural Services,Construction & Materials,71111,Architectural activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Engineering,Engineering Services,Professional Services,71111,Architectural activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Ironmongers,Metal Fabrication,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Salvage,Building Materials & Products,Retail,46770,Wholesale of waste and scrap,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Services,Architectural Services,Construction & Materials,71111,Architectural activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Technologists,Architectural Services,Construction & Materials,71111,Architectural activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Architectural Woodwork,Machinery & Manufacturing Services,Manufacturing & Industrials,16230,Manufacture of other builders' carpentry and joinery,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Archivists,Records Management,Professional Services,91012,Archives activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Argentinian Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Army Surplus Stores,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Aromatherapy,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Art & Craft Materials,Art & Craft,"Media, Publishing & Entertainment",47599,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Art Galleries & Fine Art Dealers,Art & Craft,"Media, Publishing & Entertainment",47781,Retail sale in commercial art galleries,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Art Of Hosting,Hospitality Management & Services,Hospitality,82302,Activities of conference organisers,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Art Print & Digital Font,Art & Craft,"Media, Publishing & Entertainment",18129,Printing n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Art Restoration & Picture Cleaning,Art & Craft,Consumer Goods & Services,90030,Artistic creation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Art Supplies,Art & Craft,"Media, Publishing & Entertainment",47781,Retail sale in commercial art galleries,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Articulated Vehicles,Automobiles,Automotive,29100,Manufacture of motor vehicles,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Artificial Grass Suppliers,Garden Supplies,Retail,81300,Landscape service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Artificial Intelligence,AI Development,Information Technology,62012,Business and domestic software development,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Beer Tank Solutions,Beverage Distribution,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
