person_name,website,country,industry,size,Revenue (Billion USD),Employees,Founded Year,company_name,email,phone,job_title,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Enel,enel.com,Italy,Renewable Energy,Large,74.0,74000,1962,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Italy,0.0,0.0,,Renewable Energy,,True,email_match_0,Other,0.0
Duke Energy,duke-energy.com,United States,Utilities,Large,61.0,68000,1904,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
American Electric Power,aep.com,United States,Utilities,Large,52.0,24500,1906,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
NextEra Energy,nexteraenergy.com,United States,Renewable Energy,Large,59.5,45000,1925,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Renewable Energy,,True,email_match_0,Other,0.0
Equinor,equinor.com,Norway,Oil & Gas,Large,117.9,20000,1972,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Norway,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
BP,bp.com,United Kingdom,Oil & Gas,Large,169.5,65000,1909,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
TotalEnergies,totalenergies.com,France,Oil & Gas,Enterprise,233.8,101000,1924,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
Chevron,chevron.com,United States,Oil & Gas,Large,178.1,44400,1879,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
Johnson & Johnson,jnj.com,United States,Pharmaceuticals,Enterprise,94.9,133500,1886,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Hoffmann-La Roche,roche.com,Switzerland,Pharmaceuticals,Large,64.3,103000,1896,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Switzerland,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Sinopharm,sinopharm.com,China,Pharmaceuticals,Large,77.3,180000,2003,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Pfizer,pfizer.com,United States,Pharmaceuticals,Large,58.5,32000,1849,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Eli Lilly,lilly.com,United States,Pharmaceuticals,Large,48.6,44000,1876,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
AbbVie,abbvie.com,United States,Pharmaceuticals,Large,56.3,50000,2013,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Merck,merck.com,United States,Pharmaceuticals,Large,59.3,73000,1668,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Bristol Myers Squibb,bms.com,United States,Pharmaceuticals,Large,47.2,45000,1858,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Healthcare,,True,email_match_0,Other,0.0
Thermo Fisher Scientific,thermofisher.com,United States,Life Sciences,Large,45.5,145000,1956,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Life Sciences,,True,email_match_0,Other,0.0
Danaher,danaher.com,United States,Conglomerate,Large,34.3,68000,1969,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Conglomerate,,True,email_match_0,Other,0.0
Nestlé,nestle.com,Switzerland,Food & Beverage,Enterprise,89.9,291000,1866,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Switzerland,0.0,0.0,,Food & Beverage,,True,email_match_0,Other,0.0
Procter & Gamble,pg.com,United States,Consumer Goods,Enterprise,71.0,111000,1837,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Consumer Goods,,True,email_match_0,Other,0.0
PepsiCo,pepsico.com,United States,Food & Beverage,Enterprise,70.4,320000,1893,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Food & Beverage,,True,email_match_0,Other,0.0
Anheuser-Busch InBev,ab-inbev.com,Belgium,Beverages,Enterprise,52.3,170000,1366,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Belgium,0.0,0.0,,Beverages,,True,email_match_0,Other,0.0
Mondelēz International,mondelez.com,United States,Food,Large,33.7,85000,1903,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Food,,True,email_match_0,Other,0.0
General Mills,generalmills.com,United States,Food,Large,21.3,40000,1928,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Food,,True,email_match_0,Other,0.0
Unilever,unilever.com,United Kingdom,Consumer Goods,Enterprise,57.8,130000,1930,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Consumer Goods,,True,email_match_0,Other,0.0
Colgate-Palmolive,colgatepalmolive.com,United States,Consumer Goods,Large,19.0,29000,1806,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Consumer Goods,,True,email_match_0,Other,0.0
Coca-Cola,coca-cola.com,United States,Beverages,Enterprise,46.2,200000,1886,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Beverages,,True,email_match_0,Other,0.0
Henkel,henkel.com,Germany,Consumer Goods,Large,23.3,51000,1876,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Consumer Goods,,True,email_match_0,Other,0.0
Costco Wholesale,costco.com,United States,Retail,Enterprise,254.5,333000,1983,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
LVMH Moët Hennessy Louis Vuitton,lvmh.com,France,Luxury Retail,Enterprise,97.3,192000,1987,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Alibaba Group,alibaba.com,China,E-commerce,Enterprise,120.5,254000,1999,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
JD.com,jd.com,China,E-commerce,Large,92.5,290000,1998,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Pinduoduo,pinduoduo.com,China,E-commerce,Large,12.3,3000,2015,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Home Depot,homedepot.com,United States,Retail,Large,152.4,465000,1978,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Lowe's Companies,lowes.com,United States,Retail,Large,87.7,330000,1946,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Target,target.com,United States,Retail,Large,107.6,415000,1962,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Best Buy,bestbuy.com,United States,Retail,Large,35.6,71000,1966,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Carrefour,carrefour.com,France,Retail,Enterprise,58.4,380000,1959,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Samsung Electronics,samsung.com,South Korea,Electronics,Enterprise,200.7,267000,1938,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,South Korea,0.0,0.0,,Electronics,,True,email_match_0,Other,0.0
Foxconn (Hon Hai Precision Industry),foxconn.com,Taiwan,Electronics Manufacturing,Enterprise,181.9,803000,1974,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Taiwan,0.0,0.0,Industry Standardization,Manufacturing,,True,email_match_0,Other,0.0
Canon,canon.com,Japan,Electronics,Large,38.3,189000,1937,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Electronics,,True,email_match_0,Other,0.0
Mitsubishi Electric,mitsubishielectric.com,Japan,Diversified Manufacturing,Large,48.5,180000,1921,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,Industry Standardization,Manufacturing,,True,email_match_0,Other,0.0
Siemens,siemens.com,Germany,Conglomerate,Enterprise,63.9,318000,1847,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Conglomerate,,True,email_match_0,Other,0.0
Bosch,bosch.com,Germany,Engineering,Large,81.5,400000,1886,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Engineering,,True,email_match_0,Other,0.0
Hitachi,hitachi.com,Japan,Conglomerate,Large,82.3,280000,1910,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Conglomerate,,True,email_match_0,Other,0.0
Panasonic,panasonic.com,Japan,Electronics,Large,63.2,247000,1918,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Electronics,,True,email_match_0,Other,0.0
Sony,sony.com,Japan,Electronics & Entertainment,Large,84.9,205000,1946,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Electronics & Entertainment,,True,email_match_0,Other,0.0
Philips,philips.com,Netherlands,Electronics,Large,19.2,130000,1891,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Netherlands,0.0,0.0,,Electronics,,True,email_match_0,Other,0.0
BASF,basf.com,Germany,Chemicals,Enterprise,69.5,112000,1865,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Chemicals,,True,email_match_0,Other,0.0
Dow Inc.,dow.com,United States,Chemicals,Large,56.5,112000,1897,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Chemicals,,True,email_match_0,Other,0.0
DuPont,dupont.com,United States,Chemicals,Large,13.1,32000,1802,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Chemicals,,True,email_match_0,Other,0.0
LyondellBasell,lyondellbasell.com,Netherlands,Chemicals,Large,50.2,18000,1953,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Netherlands,0.0,0.0,,Chemicals,,True,email_match_0,Other,0.0
Arkema,arkema.com,France,Chemicals,Large,11.5,20000,2004,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,,Chemicals,,True,email_match_0,Other,0.0
Linde plc,linde.com,United States,Industrial Gases,Enterprise,32.8,80000,1879,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Manufacturing,,True,email_match_0,Other,0.0
Air Liquide,airliquide.com,France,Industrial Gases,Large,29.8,75000,1902,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,Industry Standardization,Manufacturing,,True,email_match_0,Other,0.0
Solvay,solvay.com,Belgium,Chemicals,Large,15.9,28000,1863,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Belgium,0.0,0.0,,Chemicals,,True,email_match_0,Other,0.0
ArcelorMittal,arcelormittal.com,Luxembourg,Steel,Large,83.0,130000,2006,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Luxembourg,0.0,0.0,,Steel,,True,email_match_0,Other,0.0
Nippon Steel,nipponsteel.com,Japan,Steel,Large,67.2,99000,1901,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Steel,,True,email_match_0,Other,0.0
Taiwan Semiconductor Manufacturing,tsmc.com,Taiwan,Semiconductors,Enterprise,75.9,73000,1987,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Taiwan,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
Samsung Semiconductor,samsung.com,South Korea,Semiconductors,Large,78.5,267000,1938,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,South Korea,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
SK Hynix,skhynix.com,South Korea,Semiconductors,Large,36.9,118000,1983,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,South Korea,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
Broadcom,broadcom.com,United States,Semiconductors,Large,61.5,22000,1991,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
Qualcomm,qualcomm.com,United States,Semiconductors,Large,43.8,51000,1985,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
Advanced Micro Devices (AMD),amd.com,United States,Semiconductors,Large,26.5,26000,1969,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
MediaTek,mediatek.com,Taiwan,Semiconductors,Large,12.5,15000,1997,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Taiwan,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
Nvidia,nvidia.com,United States,Semiconductors,Large,60.9,32000,1993,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
Applied Materials,appliedmaterials.com,United States,Semiconductor Equipment,Large,28.3,38000,1967,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Semiconductor Equipment,,True,email_match_0,Other,0.0
ASML Holding,asml.com,Netherlands,Semiconductor Equipment,Large,27.6,39000,1984,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Netherlands,0.0,0.0,,Semiconductor Equipment,,True,email_match_0,Other,0.0
China Mobile,chinamobileltd.com,China,Telecommunications,Enterprise,129.2,480000,2008,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
China Unicom,chinaunicom.com.cn,China,Telecommunications,Enterprise,74.1,310000,2008,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
Verizon Communications,verizon.com,United States,Telecommunications,Enterprise,134.0,169000,1983,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
AT&T,att.com,United States,Telecommunications,Enterprise,123.1,224000,1882,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
Telefónica,telefonica.com,Spain,Telecommunications,Large,51.5,124000,1924,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Spain,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
Vodafone Group,vodafone.com,United Kingdom,Telecommunications,Enterprise,52.4,240000,1984,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
Deutsche Telekom,telekom.com,Germany,Telecommunications,Enterprise,93.7,238000,1995,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
Swisscom,swisscom.com,Switzerland,Telecommunications,Large,13.4,22000,1998,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Switzerland,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
Orange,orange.com,France,Telecommunications,Enterprise,54.8,149000,1988,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
BT Group,bt.com,United Kingdom,Telecommunications,Large,24.5,130000,1844,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Telecommunications,,True,email_match_0,Other,0.0
American Airlines Group,aa.com,United States,Airlines,Large,59.7,130000,1930,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Airlines,,True,email_match_0,Other,0.0
Delta Air Lines,delta.com,United States,Airlines,Large,56.9,90000,1924,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Airlines,,True,email_match_0,Other,0.0
United Airlines,united.com,United States,Airlines,Large,53.7,89000,1926,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Airlines,,True,email_match_0,Other,0.0
Lufthansa Group,lufthansa.com,Germany,Airlines,Large,39.6,134000,1926,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Airlines,,True,email_match_0,Other,0.0
China Southern Airlines,csair.com,China,Airlines,Large,20.8,109000,1991,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,,Airlines,,True,email_match_0,Other,0.0
Airbus,airbus.com,France,Aerospace & Defense,Large,56.9,155000,1970,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,,Aerospace & Defense,,True,email_match_0,Other,0.0
Boeing,boeing.com,United States,Aerospace & Defense,Large,58.2,171000,1916,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Aerospace & Defense,,True,email_match_0,Other,0.0
