id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,head_office_country,website,phone,location_type,company_email,founded_date,company_age,sub_industry,issues,has_issues,suggested_country,country_confidence,corrections_applied,change_history,suggested_phone,is_duplicate,duplicate_group,duplicate_type,role_function,role_confidence,suggested_industry
16,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
17,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
18,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
19,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
20,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
21,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
22,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
23,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
24,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
25,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
26,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
27,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
28,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
29,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
30,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
31,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
32,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
33,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
34,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
35,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
36,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
