id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,sub_industry
18,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
19,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
20,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
21,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
22,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
23,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
24,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
25,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
26,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
27,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
28,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
29,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
30,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
31,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
32,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
33,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
34,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
35,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services
36,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,South,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services
